,assisted_housing_count,active_finance,gun incident count,% of adults < high school dip,avg unemploy rate 2015_2020,clusters,cluster
2244,6,1,16,13.2,5.65,1,purple
2245,1,1,24,8.3,5.3,1,purple
2246,13,6,109,13.5,6.4,1,purple
2247,3,2,28,14.5,6.466666666666666,1,purple
2248,2,1,1,15.4,6.366666666666667,1,purple
2249,2,1,8,15.0,6.383333333333333,1,purple
2250,3,0,11,10.7,5.566666666666666,1,purple
2251,3,0,1,12.2,5.95,1,purple
2252,1,1,2,10.8,8.483333333333334,1,purple
2253,2,2,3,14.6,7.133333333333334,1,purple
2254,6,5,21,20.3,6.5,1,purple
2255,4,2,5,20.7,7.35,1,purple
2256,4,0,4,13.8,8.466666666666667,1,purple
2257,2,1,1,17.1,8.699999999999998,1,purple
2258,10,5,32,10.1,6.100000000000001,1,purple
2259,2,1,12,19.8,8.516666666666667,1,purple
2260,1,1,4,12.5,6.216666666666666,1,purple
2261,5,1,4,7.8,5.566666666666666,1,purple
2262,11,3,19,9.8,4.366666666666666,1,purple
2263,1,1,2,4.9,6.616666666666667,1,purple
2264,11,6,78,7.9,3.716666666666667,1,purple
2265,3,2,4,6.8,6.05,1,purple
2266,4,0,4,5.8,3.25,1,purple
2267,8,1,16,7.2,4.233333333333333,1,purple
2268,6,0,4,17.7,3.6166666666666663,1,purple
2269,12,5,17,7.3,3.7166666666666655,1,purple
2270,3,0,6,8.7,4.95,1,purple
2271,43,12,686,4.2,2.966666666666667,0,pink
2272,9,2,26,9.2,3.6166666666666663,1,purple
2273,3,1,4,5.6,4.866666666666667,1,purple
2274,11,4,17,6.3,5.266666666666667,1,purple
2275,3,0,16,6.3,3.9666666666666655,1,purple
2276,14,3,43,5.9,3.5,1,purple
2277,2,1,1,6.9,5.566666666666666,1,purple
2278,10,3,29,8.2,3.6166666666666663,1,purple
2279,2,0,4,11.2,6.783333333333332,1,purple
2280,10,2,9,7.7,3.75,1,purple
2281,3,1,12,7.6,3.3000000000000003,1,purple
2282,6,1,7,10.2,4.633333333333334,1,purple
2283,3,0,2,4.8,3.65,1,purple
2284,2,0,1,5.5,7.5,1,purple
2285,3,1,8,10.1,4.75,1,purple
2286,12,6,11,8.2,3.75,1,purple
2287,3,0,6,11.6,4.3500000000000005,1,purple
2288,14,4,64,9.9,4.666666666666667,1,purple
2289,1,0,2,6.9,3.5666666666666664,1,purple
2290,10,3,55,5.0,3.5,1,purple
2291,5,0,2,9.2,3.0666666666666664,1,purple
2292,3,0,2,9.7,4.966666666666666,1,purple
2293,6,1,8,8.0,4.216666666666666,1,purple
2294,14,4,17,8.0,4.2,1,purple
2295,9,4,63,8.2,3.466666666666667,1,purple
2296,5,2,13,8.9,5.283333333333333,1,purple
